[15:40:24] [INFO] received Windows console close event; shutting log-core down
[16:56:14] [INFO] received Windows console close event; shutting log-core down
[17:12:06] [INFO] received Windows console close event; shutting log-core down
[22:34:15] [INFO] received Windows console close event; shutting log-core down
[22:41:16] [INFO] received Windows console close event; shutting log-core down
[23:38:41] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:08:51] [INFO] received Windows console close event; shutting log-core down
[01:50:29] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12:26:34] [INFO] received Windows console close event; shutting log-core down
[12:30:38] [INFO] received Windows console close event; shutting log-core down
[19:03:08] [INFO] received Windows console close event; shutting log-core down
[12:49:47] [INFO] received Windows console close event; shutting log-core down
[13:06:59] [INFO] received Windows console close event; shutting log-core down
[19:25:45] [INFO] received Windows console close event; shutting log-core down
[22:32:29] [INFO] received Windows console close event; shutting log-core down
[22:47:13] [INFO] received Windows console close event; shutting log-core down
[00:15:11] [INFO] received Windows console close event; shutting log-core down
[15:17:48] [INFO] received Windows console close event; shutting log-core down
[18:47:52] [INFO] received Windows console close event; shutting log-core down
[21:07:27] [INFO] received Windows console close event; shutting log-core down
[21:09:11] [INFO] received Windows console close event; shutting log-core down
[21:09:11] [INFO] received Windows console close event; shutting log-core down
[21:19:02] [INFO] received Windows console close event; shutting log-core down
[21:37:00] [INFO] received Windows console close event; shutting log-core down
[22:45:53] [INFO] received Windows console close event; shutting log-core down
[23:10:49] [INFO] received Windows console close event; shutting log-core down
[23:12:47] [INFO] received Windows console close event; shutting log-core down
[23:24:34] [INFO] received Windows console close event; shutting log-core down
[18:13:16] [INFO] received Windows console close event; shutting log-core down
[18:13:45] [INFO] received Windows console close event; shutting log-core down
[18:15:16] [INFO] received Windows console close event; shutting log-core down
[18:16:07] [INFO] received Windows console close event; shutting log-core down
[18:31:56] [INFO] received Windows console close event; shutting log-core down
[18:48:36] [INFO] received Windows console close event; shutting log-core down
[19:02:04] [INFO] received Windows console close event; shutting log-core down
[19:08:33] [INFO] received Windows console close event; shutting log-core down
[19:37:29] [INFO] received Windows console close event; shutting log-core down
[19:42:03] [INFO] received Windows console close event; shutting log-core down
[20:03:53] [INFO] received Windows console close event; shutting log-core down
[20:08:17] [INFO] received Windows console close event; shutting log-core down
[20:23:32] [INFO] received Windows console close event; shutting log-core down
[20:30:04] [INFO] received Windows console close event; shutting log-core down
[20:37:23] [INFO] received Windows console close event; shutting log-core down
[23:20:49] [INFO] received Windows console close event; shutting log-core down
[23:27:28] [INFO] received Windows console close event; shutting log-core down
[23:58:46] [INFO] received Windows console close event; shutting log-core down
[00:58:19] [INFO] received Windows console close event; shutting log-core down
[17:50:55] [INFO] received Windows console close event; shutting log-core down
[18:02:10] [INFO] received Windows console close event; shutting log-core down
[18:04:56] [INFO] received Windows console close event; shutting log-core down
[18:07:16] [INFO] received Windows console close event; shutting log-core down
[18:11:23] [INFO] received Windows console close event; shutting log-core down
[18:24:44] [INFO] received Windows console close event; shutting log-core down
[19:04:25] [INFO] received Windows console close event; shutting log-core down
[00:08:22] [INFO] received Windows console close event; shutting log-core down
[00:10:39] [INFO] received Windows console close event; shutting log-core down
[09:21:47] [INFO] received Windows console close event; shutting log-core down
[09:50:06] [INFO] received Windows console close event; shutting log-core down
[10:53:03] [INFO] received Windows console close event; shutting log-core down
[10:54:00] [INFO] received Windows console close event; shutting log-core down
